item_id	name	category	unit_price
331	avental  com bolso tecido estanpado	Geral	9.00
332	AVENTAL  NAPA	Geral	7.00
333	AVENTAL  SORTIDOS 0,45 X 0,60 CM	Geral	8.00
334	avental kim	Geral	9.00
335	AVENTAL KIM PANOS	CAMA, MESA E BANHO	5.00
336	AVENTAL KORINO	Geral	8.50
337	AVENTAL NAPA	UTILIDADES	5.00
338	AVENTAL P/ CHURRASQUEIRO 64X1,00M	UTILIDADES	16.00
339	AVENTAL SOFICE	Geral	7.00
340	AVIAÕ  PLANE	Geral	30.00
341	AVIAÕ  SUPER CAÇA	Geral	6.50
342	AVIÃO BS PLANE	BRINQUEDOS	40.00
343	AVIÃO DE BRINQUEDO	BRINQUEDOS	20.00
344	AVIÃO EXPLOTER TIME	Geral	70.00
345	AVIÃO FIGHITER COMANDO	BRINQUEDOS	35.00
346	AVIAO PEQUENO	BRINQUEDOS	7.00
347	BABADOR DE SILICONE SANREMO	Geral	20.00
348	baby babilina bambola	Geral	39.99
349	BABY CARRINHO	BRINQUEDOS	20.00
350	BABY CARRIOLA DE PRAIA	BRINQUEDOS	22.50
351	baby star	Geral	20.00
352	baby start cubo  mágico	Geral	55.00
353	bacia	Geral	85.00
354	BACIA  COLORS  25 LITROS  EURIBEL	Geral	25.00
355	BACIA 16 LITROS	UTILIDADES	16.00
356	BACIA 18 LITROS ARQPLAST	UTILIDADES	14.00
357	BACIA 20 L	Geral	22.00
358	BACIA 25 LITROS	Geral	23.00
359	BACIA 35 LTS	Geral	27.00
360	BACIA 4 LTS	UTILIDADES	4.00
361	BACIA 40 LTS VERDE ARQPLAST CANELADA	PLASTICOS	35.00
362	BACIA 45L	Geral	40.00
363	BACIA 6,5 COLORS	UTILIDADES	7.00
364	BACIA 6L RAE PLASTICOS	Geral	8.00
365	BACIA 80 LTS CANELADA EXTRA GIGANTE	PLASTICOS	55.00
366	BACIA 9 LITROS COLOR	PLASTICOS	7.00
367	BACIA C, TAMPA 2,8L   MB	Geral	10.00
368	BACIA C/TAMPA 250 ml	UTILIDADES	2.50
369	bacia canelada  3,2 l	Geral	7.00
370	BACIA CANELADA 1,8L - PURE	UTILIDADES	5.00
371	BACIA CANELADA 12 LTS ARQPLAST	UTILIDADES	10.00
372	BACIA CANELADA 12L	UTILIDADES	8.00
373	BACIA CANELADA 20L	UTILIDADES	22.00
374	bacia canelada 31 lt colors	COZINHA	28.00
375	BACIA CANELADA 6L	UTILIDADES	10.00
376	BACIA CANELADA COLOR 3 LTS	UTILIDADES	4.00
377	BACIA CANELADA COLOR 5,5 LTS	UTILIDADES	8.00
378	BACIA COM TAMPA 1,1L	UTILIDADES	7.00
379	BACIA COM TAMPA 2,8L	PLASTICOS	12.00
380	BACIA COM TAMPA 500 ML	UTILIDADES	4.00
381	BACIA DE 110 L	Geral	98.00
382	BACIA DE 35L PRETA	Geral	25.00
383	BACIA DE 50 L PRETA	UTILIDADES	37.00
384	BACIA DE 80 LITROS  SORTIDO	UTILIDADES	95.00
385	BACIA EXTRA  GIGANTE AZUL	Geral	95.00
386	BACIA EXTRA GIGANTE 80 LTS	Geral	45.00
387	BACIA FRISADA 15 LITROS	Geral	12.00
388	BACIA FRISADA 25 LTS	UTILIDADES	16.00
389	BACIA GIGANTE 28 LTS INPLAST	UTILIDADES	23.00
390	BACIA GIGANTE RECICLADA 30 LTS	PLASTICOS	17.90
391	BACIA GRANDE CANELADA 32 LTS	UTILIDADES	27.00
392	BACIA MULTICOLOR 40 LITROS	UTILIDADES	27.00
393	BACIA MULTIUSO 28 LITROS COLOR	UTILIDADES	18.00
394	BACIA PEDICURE	UTILIDADES	20.00
395	BACIA PEDICURE ARQPLAST   PRETO	UTILIDADES	8.50
396	BACIA PRETA 25 LTS	PLASTICOS	15.00
397	BACIA UNIPOP	Geral	12.00
398	BAÇÕES JOY PREMIUM ROSA C/50	Geral	7.50
399	BAILARINA PORTA-JOIAS	Geral	20.00
400	BALANÇA	Geral	30.00
401	BALANÇA	Geral	44.00
402	BALANÇA AZUL	Geral	40.00
403	BALANÇA DE COZINHA	Geral	40.00
404	BALANÇA DE COZINHA  DIGITAL PRECISION   10 KL	Geral	30.00
405	BALANÇA DE COZINHA  ORIGINAL	Geral	40.00
406	BALANÇA DE COZINHA 10KG	Geral	30.00
407	balança de precisão   cozinha	Geral	30.00
408	balanca digital	Geral	40.00
409	BALANÇA DIGITAL ALIMENTOS	Geral	49.80
410	BALANÇA DIGITAL CORPORAL	Geral	44.00
411	balança digital cozinha	Geral	49.80
412	BALANÇA DIGITAL ORIGINAL LINE 180KG	Geral	85.00
413	BALANÇA DIGITAL WELLMIX	Geral	40.00
414	BALANÇA PESSOAL DIGITAL	Geral	85.00
415	BALAO	Geral	3.00
416	BALAO	Geral	10.00
417	balão   joy neon n 9 sortido c 25	Geral	8.00
418	balão  6,5 rosa  claro  25 unid.	Geral	3.50
419	balão  amarelo n 7	Geral	10.00
420	balão  c 12  prata  cromado  numero 14	kit FESTA	23.00
421	balaõ  de 6,5 folia c 30 sortida	Geral	8.00
422	balão  dourado dourado n3	kit FESTA	8.00
423	balão  joy 6,5  preta	Geral	3.50
424	balão  joy c 50  terracota n 7	Geral	10.00
425	balão  n 7  lilas c 30	Geral	8.00
426	balão  ouro pequeno 40 cm n 1	kit FESTA	8.00
427	balão 2026 dourado prateado n 16	kit FESTA	20.00
428	BALÃO 6,5	Geral	3.50
429	BALÃO 6,5  SORTIDO	Geral	3.00
430	BALÃO AMARELO 6,5 C/20	Geral	4.00
431	BALÃO AZUL 6,5 C/20	Geral	4.00
432	balao azul 9	Geral	16.00
433	balão bege c 50 joy	Geral	7.50
434	BALÃO BIG IDEATEX 1 UNID	FESTA	8.00
435	BALÃO BRANCO 6,5 C/20	Geral	4.00
436	balão c 20 unid preto 6,5 folia	Geral	5.00
437	balão cromado joy c 25 sortido	Geral	16.00
438	balão de 6,5 branca  20 unidades	Geral	4.00
439	BALÃO DE CORAÇÃO	Geral	7.50
